Name,Symbol,Price,% 24h
Bitcoin,BTC,19984.58,3.74
Ethereum,ETH,1352.45,3.56
Tether,USDT,1.0,0.01
BNB,BNB,293.94,2.7
USD Coin,USDC,1.0,0.0
XRP,XRP,0.48,5.43
Binance USD,BUSD,1.0,-0.04
Cardano,ADA,0.43,1.99
Solana,SOL,33.78,3.16
Dogecoin,DOGE,0.06,0.92
Polkadot,DOT,6.46,2.53
Polygon,MATIC,0.83,6.87
Dai,DAI,1.0,-0.02
Shiba Inu,SHIB,0.0,1.17
TRON,TRX,0.06,0.49
Uniswap,UNI,6.76,3.6
Avalanche,AVAX,17.36,3.08
Wrapped Bitcoin,WBTC,19982.41,3.68
UNUS SED LEO,LEO,4.16,0.32
Litecoin,LTC,54.79,3.05
Chainlink,LINK,7.75,7.33
Ethereum Classic,ETC,27.77,1.75
Cosmos,ATOM,13.09,4.81
FTX Token,FTT,24.93,3.21
Stellar,XLM,0.12,3.53
NEAR Protocol,NEAR,3.61,3.61
Cronos,CRO,0.11,0.9
Monero,XMR,146.34,4.76
Algorand,ALGO,0.35,1.14
Bitcoin Cash,BCH,119.13,3.23
Terra Classic,LUNC,0.0,-6.86
Flow,FLOW,1.7,3.06
VeChain,VET,0.02,4.06
Toncoin,TON,1.4,4.47
Quant,QNT,140.79,3.98
Filecoin,FIL,5.55,1.25
ApeCoin,APE,5.26,2.84
Internet Computer,ICP,6.13,2.12
Hedera,HBAR,0.06,1.83
Tezos,XTZ,1.45,2.01
Chiliz,CHZ,0.22,0.23
Decentraland,MANA,0.7,2.13
Elrond,EGLD,54.63,7.83
The Sandbox,SAND,0.84,2.51
EOS,EOS,1.19,0.83
Aave,AAVE,78.27,4.53
Theta Network,THETA,1.08,2.55
Axie Infinity,AXS,12.78,3.48
Pax Dollar,USDP,1.0,-0.35
OKB,OKB,15.72,1.02
Bitcoin SV,BSV,48.93,1.01
KuCoin Token,KCS,9.22,1.58
TrueUSD,TUSD,1.0,-0.01
Zcash,ZEC,56.94,3.41
Maker,MKR,863.15,9.19
eCash,XEC,0.0,3.0
USDD,USDD,1.0,0.01
IOTA,MIOTA,0.28,1.97
BitTorrent-New,BTT,0.0,1.53
The Graph,GRT,0.1,3.98
Neutrino USD,USDN,0.97,0.0
PancakeSwap,CAKE,4.7,2.68
Helium,HNT,5.0,1.53
Huobi Token,HT,4.09,2.28
Neo,NEO,8.86,3.13
Fantom,FTM,0.23,3.17
Klaytn,KLAY,0.19,1.27
PAX Gold,PAXG,1704.57,2.41
Synthetix,SNX,2.32,2.42
THORChain,RUNE,1.65,7.19
Lido DAO,LDO,1.6,8.52
Nexo,NEXO,0.88,-0.62
Curve DAO Token,CRV,0.91,3.36
GateToken,GT,4.34,1.59
Dash,DASH,42.1,3.84
Basic Attention Token,BAT,0.31,3.56
Enjin Coin,ENJ,0.46,2.4
Compound,COMP,60.76,1.78
Stacks,STX,0.32,2.12
Kava,KAVA,1.54,3.02
Zilliqa,ZIL,0.03,2.9
Fei USD,FEI,0.99,0.43
Ravencoin,RVN,0.04,1.01
Waves,WAVES,3.82,1.93
Mina,MINA,0.6,2.22
Reserve Rights,RSR,0.01,-0.97
Loopring,LRC,0.3,2.52
XDC Network,XDC,0.03,1.01
Decred,DCR,26.55,2.13
Trust Wallet Token,TWT,0.91,1.97
STEPN,GMT,0.63,1.58
NEM,XEM,0.04,3.23
Kusama,KSM,43.64,4.9
Celo,CELO,0.78,1.7
Bitcoin Gold,BTG,20.56,2.86
Holo,HOT,0.0,1.47
Convex Finance,CVX,5.18,8.36
1inch Network,1INCH,0.58,2.5
Terra,LUNA,2.56,4.62
Celsius,CEL,1.36,2.94
